playerID,name,jerseyNumber,year,teamID
rosgar,Ryan Osgar,1,2022,empire
mellis,Matt Ellis,2,2022,empire
bjagt,Ben Jagt,4,2022,empire
cfortin,Connor Fortin,5,2022,empire
cweinberg,Charles Weinberg,6,2022,empire
efortin,Ethan Fortin,8,2022,empire
srueschem,Solomon Rueschemeyer-Bailey,9,2022,empire
echartock,Elliott Chartock,10,2022,empire
mdrost,Mike Drost,16,2022,empire
mstevens,Matt Stevens,17,2022,empire
mlabar,Matt LaBar,20,2022,empire
sxu,Scott Xu,22,2022,empire
rholmes,Ryan Holmes,23,2022,empire
nto,Noriaki To,27,2022,empire
bkatz1,Ben Katz,28,2022,empire
sfeder,Sam Feder,31,2022,empire
mlin,Mark Lin,33,2022,empire
egriffin,Elias Griffin,34,2022,empire
relston,Robert Elston,41,2022,empire
mkobyra,Mike Kobyra,44,2022,empire
jlithio,John Lithio,54,2022,empire
cmclaughl1,Chris McLaughlin,67,2022,empire
rdrost,Ryan Drost,80,2022,empire
adavis2,Antoine Davis,81,2022,empire
mbrownlee,Marques Brownlee,82,2022,empire
jbabbitt,Jeff Babbitt,87,2022,empire
jwilliams,Jack Williams,11,2022,empire
ochartock,Oliver Chartock,13,2022,empire
mjohnson1,Matt Johnson,0,2022,empire
jrandolph,John Randolph,79,2022,empire
jmieser,Jibran Mieser,66,2022,empire
tsither,Ted Sither,0,2022,breeze
afall,Alexandre Fall,1,2022,breeze
ilee,Isaac Lee,2,2022,breeze
jhess,Jeremy Hess,3,2022,breeze
djohnson,Delrico Johnson,4,2022,breeze
amerriman,AJ Merriman,5,2022,breeze
dwarner,Dane Warner,6,2022,breeze
tmonroe,Tyler Monroe,7,2022,breeze
kkawaguch,Kenta Kawaguchi,9,2022,breeze
znorrbom,Zach Norrbom,10,2022,breeze
lrehfuss,Luke Rehfuss,11,2022,breeze
mmcdonnel,Rowan McDonnell,12,2022,breeze
cboxley,Christian Boxley,13,2022,breeze
abartlett,Aaron Bartlett,14,2022,breeze
kvezina,Kyle Vezina,15,2022,breeze
mdia,Moussa Dia,17,2022,breeze
khealey,Kevin Healey,18,2022,breeze
blamberty,Brandon Lamberty,19,2022,breeze
