player_id,thrower_x,thrower_y,event_type,dest_x,dest_y,event_name
jbrissett,21.2,17.33,18,2.84,23.0,Throw (completion)
jbrissett,17.34,18.93,22,17.34,18.93,Throwaway
lcomire,26.46,72.9,18,18.49,65.49,Throw (completion)
amuraoka,18.49,65.49,18,4.08,65.69,Throw (completion)
dmiller2,-14.04,70.98,18,1.33,69.95,Throw (completion)
amuraoka,1.33,69.95,18,-12.94,77.84,Throw (completion)
dmiller2,-3.81,83.54,20,21.01,96.88,Drop
jbrissett,-21.01,23.12,18,-0.15,20.46,Throw (completion)
qbonnaud,-0.15,20.46,18,11.58,29.12,Throw (completion)
kgroulx,11.58,29.12,18,18.65,38.95,Throw (completion)
tdecraene,22.95,49.15,22,23.92,63.81,Throwaway
lcomire,-23.92,56.19,18,-6.77,26.01,Throw (completion)
amuraoka,9.71,26.49,18,13.14,44.0,Throw (completion)
dmiller2,13.14,44.0,18,25.08,61.37,Throw (completion)
tdecraene,-17.42,25.77,18,-2.12,20.89,Throw (completion)
jbrissett,-2.12,20.89,18,-13.92,31.23,Throw (completion)
qbonnaud,-2.12,29.34,18,10.63,24.9,Throw (completion)
jbrissett,10.63,24.9,18,21.34,35.89,Throw (completion)
kgroulx,21.34,35.89,19,19.38,107.76,Goal
aturcotte,0.0,40.0,18,7.44,56.91,Throw (completion)
ostonehou,7.44,56.91,22,-2.58,110.66,Throwaway
ctremblay,-2.85,22.93,18,-14.65,30.58,Throw (completion)
rpoloz,7.86,88.34,18,12.04,87.45,Throw (completion)
aturcotte,12.04,87.45,18,0.3,87.04,Throw (completion)
rpoloz,0.3,87.04,18,12.52,82.65,Throw (completion)
aodonnell,12.52,82.65,18,15.82,79.01,Throw (completion)
rpoloz,15.82,79.01,18,0.1,78.74,Throw (completion)
rpoloz,1.47,69.88,18,-2.58,64.05,Throw (completion)
rpoloz,-3.27,64.66,18,4.35,69.88,Throw (completion)
rpoloz,9.09,77.09,18,14.58,89.72,Throw (completion)
ostonehou,14.58,89.72,19,17.46,103.86,Goal
jbrissett,-1.54,19.95,18,-10.79,27.01,Throw (completion)
tdecraene,-10.79,27.01,18,-4.38,17.83,Throw (completion)
jbrissett,7.94,21.33,18,17.41,38.0,Throw (completion)
kgroulx,17.41,38.0,22,8.65,46.91,Throwaway
orobinson,-8.65,73.09,18,3.94,68.03,Throw (completion)
orobinson,11.56,91.51,18,4.83,82.03,Throw (completion)
jbrissett,-12.78,44.58,18,-16.33,37.79,Throw (completion)
tdecraene,-16.33,37.79,18,-18.22,52.86,Throw (completion)
jbrissett,-18.22,52.86,22,19.67,116.43,Throwaway
orobinson,-10.47,20.59,20,-12.3,48.64,Drop
tdecraene,10.92,74.49,18,0.43,67.13,Throw (completion)
jbrissett,0.43,67.13,18,-11.95,79.51,Throw (completion)
tdecraene,-11.95,79.51,18,-17.56,91.45,Throw (completion)
jbrissett,-17.56,91.45,19,-16.33,113.3,Goal
aodonnell,-2.44,11.87,18,1.33,23.27,Throw (completion)
aturcotte,1.33,23.27,18,16.43,31.71,Throw (completion)
rpoloz,16.43,31.71,18,16.57,52.65,Throw (completion)
ostonehou,16.57,52.65,18,12.59,68.03,Throw (completion)
gmckee,12.59,68.03,19,2.77,110.11,Goal
dlacombeb,1.96,24.17,18,21.12,45.58,Throw (completion)
tdecraene,21.12,45.58,22,3.27,115.12,Throwaway
lcomire,23.78,20.38,18,22.96,30.61,Throw (completion)
dmiller2,22.96,30.61,18,15.34,22.03,Throw (completion)
lcomire,15.34,22.03,18,-6.01,26.22,Throw (completion)
amuraoka,-16.1,41.67,18,-16.38,65.21,Throw (completion)
dmiller2,-16.38,65.21,20,-7.68,85.65,Drop
dlacombeb,7.68,34.35,18,-13.78,36.55,Throw (completion)
kgroulx,-22.01,52.64,19,-16.84,107.18,Goal
aodonnell,-24.27,11.94,18,-9.24,17.64,Throw (completion)
aturcotte,-9.24,17.64,18,-4.3,13.79,Throw (completion)
aodonnell,-4.3,13.79,18,0.1,21.83,Throw (completion)
rpoloz,0.1,21.83,18,5.38,32.4,Throw (completion)
ostonehou,5.38,32.4,18,2.36,40.36,Throw (completion)
rpoloz,2.36,40.36,18,-1.07,53.13,Throw (completion)
gmckee,-1.07,53.13,18,-0.45,63.91,Throw (completion)
aturcotte,-0.45,63.91,18,-5.87,55.88,Throw (completion)
gmckee,-5.87,55.88,18,-9.92,70.29,Throw (completion)
gmckee,-7.18,62.88,18,-17.68,67.27,Throw (completion)
aturcotte,-9.72,58.62,19,17.19,106.4,Goal
kgroulx,-16.18,31.96,18,-13.19,57.88,Throw (completion)
jbrissett,-1.46,37.2,18,16.61,48.05,Throw (completion)
tdecraene,16.61,48.05,18,16.24,63.27,Throw (completion)
kgroulx,16.24,63.27,18,12.45,50.09,Throw (completion)
tdecraene,12.45,50.09,18,-15.96,39.75,Throw (completion)
qbonnaud,-13.19,43.68,18,13.55,68.73,Throw (completion)
tdecraene,11.87,76.96,18,-0.08,95.53,Throw (completion)
qbonnaud,-0.08,95.53,19,8.3,113.51,Goal
aturcotte,0.0,40.0,18,-9.85,38.23,Throw (completion)
aodonnell,-9.85,38.23,18,-6.63,33.29,Throw (completion)
rpoloz,-6.63,33.29,18,-16.03,34.32,Throw (completion)
aodonnell,-16.03,34.32,18,-14.25,44.96,Throw (completion)
rpoloz,-14.25,44.96,18,-21.39,63.77,Throw (completion)
